course_name,detail_url,tee,course_difficulty,green_difficulty,hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,par_1,par_2,par_3,par_4,par_5,par_6,par_7,par_8,par_9,par_10,par_11,par_12,par_13,par_14,par_15,par_16,par_17,par_18,out_sum_m,in_sum_m,total_sum_m
이글몬트 CC - 몬트/히든,https://www.golfzon.com/course/detail/100001038,Black Tee,4.0,4.0,334,172,385,363,450,409,272,129,464,340,134,452,229,144,459,205,383,469,4,3,4,4,5,4,4,3,5,4,3,5,4,3,5,3,4,5,2978,2815,5793
이글몬트 CC - 몬트/히든,https://www.golfzon.com/course/detail/100001038,Blue Tee,4.0,4.0,322,152,356,337,422,382,264,127,439,307,128,430,223,131,432,190,366,455,4,3,4,4,5,4,4,3,5,4,3,5,4,3,5,3,4,5,2801,2662,5463
이글몬트 CC - 몬트/히든,https://www.golfzon.com/course/detail/100001038,Red Tee,4.0,4.0,228,106,254,277,347,256,199,92,334,219,96,366,175,89,300,105,236,355,4,3,4,4,5,4,4,3,5,4,3,5,4,3,5,3,4,5,2093,1941,4034
이글몬트 CC - 몬트/히든,https://www.golfzon.com/course/detail/100001038,White Tee,4.0,4.0,309,138,335,313,397,356,252,111,415,275,117,415,214,117,419,155,333,439,4,3,4,4,5,4,4,3,5,4,3,5,4,3,5,3,4,5,2626,2484,5110
이글몬트 CC - 몬트/히든,https://www.golfzon.com/course/detail/100001038,Yellow Tee,4.0,4.0,295,121,316,299,371,338,226,101,371,263,113,395,205,102,371,131,301,425,4,3,4,4,5,4,4,3,5,4,3,5,4,3,5,3,4,5,2438,2306,4744
이글몬트 CC - 이글/몬트,https://www.golfzon.com/course/detail/100001037,Black Tee,4.0,4.0,367,313,429,506,189,421,160,518,361,334,172,385,363,450,409,272,129,464,4,4,4,5,3,4,3,5,4,4,3,4,4,5,4,4,3,5,3264,2978,6242
이글몬트 CC - 이글/몬트,https://www.golfzon.com/course/detail/100001037,Blue Tee,4.0,4.0,355,294,414,476,169,392,150,500,338,322,152,356,337,422,382,264,127,439,4,4,4,5,3,4,3,5,4,4,3,4,4,5,4,4,3,5,3088,2801,5889
이글몬트 CC - 이글/몬트,https://www.golfzon.com/course/detail/100001037,Red Tee,4.0,4.0,285,200,301,347,97,299,109,382,282,228,106,254,277,347,256,199,92,334,4,4,4,5,3,4,3,5,4,4,3,4,4,5,4,4,3,5,2302,2093,4395
이글몬트 CC - 이글/몬트,https://www.golfzon.com/course/detail/100001037,White Tee,4.0,4.0,338,269,398,422,148,341,136,444,318,309,138,335,313,397,356,252,111,415,4,4,4,5,3,4,3,5,4,4,3,4,4,5,4,4,3,5,2814,2626,5440
이글몬트 CC - 이글/몬트,https://www.golfzon.com/course/detail/100001037,Yellow Tee,4.0,4.0,311,241,367,387,123,323,120,412,301,295,121,316,299,371,338,226,101,371,4,4,4,5,3,4,3,5,4,4,3,4,4,5,4,4,3,5,2585,2438,5023
이글몬트 CC - 히든/이글,https://www.golfzon.com/course/detail/100001039,Black Tee,4.0,4.0,340,134,452,229,144,459,205,383,469,367,313,429,506,189,421,160,518,361,4,3,5,4,3,5,3,4,5,4,4,4,5,3,4,3,5,4,2815,3264,6079
이글몬트 CC - 히든/이글,https://www.golfzon.com/course/detail/100001039,Blue Tee,4.0,4.0,307,128,430,223,131,432,190,366,455,355,294,414,476,169,392,150,500,338,4,3,5,4,3,5,3,4,5,4,4,4,5,3,4,3,5,4,2662,3088,5750
이글몬트 CC - 히든/이글,https://www.golfzon.com/course/detail/100001039,Red Tee,4.0,4.0,219,96,366,175,89,300,105,236,355,285,200,301,347,97,299,109,382,282,4,3,5,4,3,5,3,4,5,4,4,4,5,3,4,3,5,4,1941,2302,4243
이글몬트 CC - 히든/이글,https://www.golfzon.com/course/detail/100001039,White Tee,4.0,4.0,275,117,415,214,117,419,155,333,439,338,269,398,422,148,341,136,444,318,4,3,5,4,3,5,3,4,5,4,4,4,5,3,4,3,5,4,2484,2814,5298
이글몬트 CC - 히든/이글,https://www.golfzon.com/course/detail/100001039,Yellow Tee,4.0,4.0,263,113,395,205,102,371,131,301,425,311,241,367,387,123,323,120,412,301,4,3,5,4,3,5,3,4,5,4,4,4,5,3,4,3,5,4,2306,2585,4891
크리스밸리 CC,https://www.golfzon.com/course/detail/100001040,Black Tee,4.0,4.0,388,473,352,316,152,501,330,156,428,370,348,179,475,299,386,499,181,372,4,5,4,4,3,5,4,3,4,4,4,3,5,4,4,5,3,4,3096,3109,6205
크리스밸리 CC,https://www.golfzon.com/course/detail/100001040,Blue Tee,4.0,4.0,367,446,323,295,133,481,305,128,404,345,324,151,446,273,359,480,162,348,4,5,4,4,3,5,4,3,4,4,4,3,5,4,4,5,3,4,2882,2888,5770
크리스밸리 CC,https://www.golfzon.com/course/detail/100001040,Red Tee,4.0,4.0,294,372,252,241,88,348,215,93,311,282,258,108,355,206,279,420,109,252,4,5,4,4,3,5,4,3,4,4,4,3,5,4,4,5,3,4,2214,2269,4483
크리스밸리 CC,https://www.golfzon.com/course/detail/100001040,White Tee,4.0,4.0,353,424,292,276,119,458,291,124,388,327,313,123,434,257,342,457,146,317,4,5,4,4,3,5,4,3,4,4,4,3,5,4,4,5,3,4,2725,2716,5441
크리스밸리 CC,https://www.golfzon.com/course/detail/100001040,Yellow Tee,4.0,4.0,330,396,270,258,105,387,226,101,352,305,288,109,407,231,317,438,128,309,4,5,4,4,3,5,4,3,4,4,4,3,5,4,4,5,3,4,2425,2532,4957
해내다 CC - 마운틴/밸리,https://www.golfzon.com/course/detail/100000761,Black Tee,4.0,4.0,521,457,179,367,412,345,143,387,783,399,480,130,336,364,150,336,378,532,5,4,3,4,4,4,3,4,6,4,5,3,4,4,3,4,4,5,3594,3105,6699
해내다 CC - 마운틴/밸리,https://www.golfzon.com/course/detail/100000761,Blue Tee,4.0,4.0,497,436,158,332,386,325,126,365,768,372,447,112,315,341,137,331,344,508,5,4,3,4,4,4,3,4,6,4,5,3,4,4,3,4,4,5,3393,2907,6300
해내다 CC - 마운틴/밸리,https://www.golfzon.com/course/detail/100000761,Red Tee,4.0,4.0,422,340,104,246,320,182,95,275,696,227,349,69,240,256,92,295,261,439,5,4,3,4,4,4,3,4,6,4,5,3,4,4,3,4,4,5,2680,2228,4908
해내다 CC - 마운틴/밸리,https://www.golfzon.com/course/detail/100000761,White Tee,4.0,4.0,473,415,148,307,360,319,120,336,745,340,413,106,298,328,131,314,310,480,5,4,3,4,4,4,3,4,6,4,5,3,4,4,3,4,4,5,3223,2720,5943
해내다 CC - 마운틴/밸리,https://www.golfzon.com/course/detail/100000761,Yellow Tee,4.0,4.0,448,369,130,252,340,291,114,308,716,270,385,75,266,305,120,311,292,441,5,4,3,4,4,4,3,4,6,4,5,3,4,4,3,4,4,5,2968,2465,5433
해내다 CC - 밸리/스카이,https://www.golfzon.com/course/detail/100000762,Black Tee,4.0,4.0,399,480,130,336,364,150,336,378,532,442,491,171,338,184,404,370,422,490,4,5,3,4,4,3,4,4,5,4,5,3,4,3,4,4,4,5,3105,3312,6417
해내다 CC - 밸리/스카이,https://www.golfzon.com/course/detail/100000762,Blue Tee,4.0,4.0,372,447,112,315,341,137,331,344,508,417,472,148,331,160,378,344,393,468,4,5,3,4,4,3,4,4,5,4,5,3,4,3,4,4,4,5,2907,3111,6018
해내다 CC - 밸리/스카이,https://www.golfzon.com/course/detail/100000762,Red Tee,4.0,4.0,227,349,69,240,256,92,295,261,439,326,419,116,258,120,299,260,312,371,4,5,3,4,4,3,4,4,5,4,5,3,4,3,4,4,4,5,2228,2481,4709
해내다 CC - 밸리/스카이,https://www.golfzon.com/course/detail/100000762,White Tee,4.0,4.0,340,413,106,298,328,131,314,310,480,390,468,141,301,152,351,336,367,431,4,5,3,4,4,3,4,4,5,4,5,3,4,3,4,4,4,5,2720,2937,5657
해내다 CC - 밸리/스카이,https://www.golfzon.com/course/detail/100000762,Yellow Tee,4.0,4.0,270,385,75,266,305,120,311,292,441,357,451,134,272,125,345,299,341,381,4,5,3,4,4,3,4,4,5,4,5,3,4,3,4,4,4,5,2465,2705,5170
해내다 CC - 스카이/마운틴,https://www.golfzon.com/course/detail/100000760,Black Tee,4.0,4.0,442,491,171,338,184,404,370,422,490,521,457,179,367,412,345,143,387,783,4,5,3,4,3,4,4,4,5,5,4,3,4,4,4,3,4,6,3312,3594,6906
해내다 CC - 스카이/마운틴,https://www.golfzon.com/course/detail/100000760,Blue Tee,4.0,4.0,417,472,148,331,160,378,344,393,468,497,436,158,332,386,325,126,365,768,4,5,3,4,3,4,4,4,5,5,4,3,4,4,4,3,4,6,3111,3393,6504
해내다 CC - 스카이/마운틴,https://www.golfzon.com/course/detail/100000760,Red Tee,4.0,4.0,326,419,116,258,120,299,260,312,371,422,340,104,246,320,182,95,275,696,4,5,3,4,3,4,4,4,5,5,4,3,4,4,4,3,4,6,2481,2680,5161
해내다 CC - 스카이/마운틴,https://www.golfzon.com/course/detail/100000760,White Tee,4.0,4.0,390,468,141,301,152,351,336,367,431,473,415,148,307,360,319,120,336,745,4,5,3,4,3,4,4,4,5,5,4,3,4,4,4,3,4,6,2937,3223,6160
해내다 CC - 스카이/마운틴,https://www.golfzon.com/course/detail/100000760,Yellow Tee,4.0,4.0,357,451,134,272,125,345,299,341,381,448,369,130,252,340,291,114,308,716,4,5,3,4,3,4,4,4,5,5,4,3,4,4,4,3,4,6,2705,2968,5673
